[0.000000] (-) TimerEvent: {}
[0.000180] (-) JobUnselected: {'identifier': 'roberto'}
[0.000251] (-) JobUnselected: {'identifier': 'roberto_gesture_detection'}
[0.000310] (-) JobUnselected: {'identifier': 'roberto_lidar'}
[0.000519] (-) JobUnselected: {'identifier': 'roberto_nav_punto'}
[0.000584] (-) JobUnselected: {'identifier': 'roberto_nav_ruta'}
[0.000751] (-) JobUnselected: {'identifier': 'roberto_person_detection'}
[0.000819] (roberto_mundo) JobQueued: {'identifier': 'roberto_mundo', 'dependencies': OrderedDict()}
[0.126331] (roberto_mundo) JobProgress: {'identifier': 'roberto_mundo', 'progress': 'install'}
[0.139795] (roberto_mundo) Command: {'cmd': ['/usr/bin/cmake', '--install', '/root/ROS2/Roberto/build/roberto_mundo'], 'cwd': '/root/ROS2/Roberto/build/roberto_mundo', 'env': OrderedDict({'GZ_SLEEP_BEFORE_STARTUP_SECS': '2', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'GZ_SIM_RESOURCE_PATH': '/opt/ros/jazzy/share:/root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo/models', 'USER': 'root', 'GZ_CONFIG_PATH': '/opt/ros/jazzy/opt/gz_sim_vendor/share/gz:/opt/ros/jazzy/opt/sdformat_vendor/share/gz:/opt/ros/jazzy/opt/gz_gui_vendor/share/gz:/opt/ros/jazzy/opt/gz_transport_vendor/share/gz:/opt/ros/jazzy/opt/gz_rendering_vendor/share/gz:/opt/ros/jazzy/opt/gz_plugin_vendor/share/gz:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/share/gz:/opt/ros/jazzy/opt/gz_msgs_vendor/share/gz:/opt/ros/jazzy/opt/gz_common_vendor/share/gz', 'SHLVL': '1', 'LIBGL_ALWAYS_SOFTWARE': '1', 'LD_LIBRARY_PATH': '/opt/ros/jazzy/opt/gz_sim_vendor/lib:/opt/ros/jazzy/opt/gz_sensors_vendor/lib:/opt/ros/jazzy/opt/gz_physics_vendor/lib:/opt/ros/jazzy/opt/sdformat_vendor/lib:/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_gui_vendor/lib:/opt/ros/jazzy/opt/gz_transport_vendor/lib:/opt/ros/jazzy/opt/gz_rendering_vendor/lib:/opt/ros/jazzy/opt/gz_plugin_vendor/lib:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/lib:/opt/ros/jazzy/opt/gz_msgs_vendor/lib:/opt/ros/jazzy/opt/gz_common_vendor/lib:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_tools_vendor/lib:/opt/ros/jazzy/opt/gz_ogre_next_vendor/lib:/opt/ros/jazzy/opt/gz_dartsim_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'WT_PROFILE_ID': '{d8e96812-b789-5068-a5ae-10b2fb53e95f}', 'HOME': '/root', 'OLDPWD': '/root/ROS2/Roberto', 'ROS_PYTHON_VERSION': '3', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/0/bus', 'WSL_DISTRO_NAME': 'Ubuntu-24.04', 'WAYLAND_DISPLAY': 'wayland-0', 'COLCON_PREFIX_PATH': '/root/ROS2/Roberto/install:/root/ROS2/turtlebot3_ws/install', 'ROS_DISTRO': 'jazzy', 'LOGNAME': 'root', 'NAME': 'DESKTOP-30Q2FHM', 'WSL_INTEROP': '/run/WSL/2923_interop', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'ogre_vulkan_render_system': '0', 'TERM': 'xterm-256color', 'QT_X11_NO_MITSHM': '1', 'PATH': '/opt/ros/jazzy/opt/gz_msgs_vendor/bin:/opt/ros/jazzy/opt/gz_tools_vendor/bin:/opt/ros/jazzy/opt/gz_ogre_next_vendor/bin:/opt/ros/jazzy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Windows/system32:/mnt/c/Windows:/mnt/c/Windows/System32/Wbem:/mnt/c/Windows/System32/WindowsPowerShell/v1.0/:/mnt/c/Windows/System32/OpenSSH/:/mnt/c/Program Files/nodejs/:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/MATLAB/R2025b/bin:/mnt/c/Program Files/usbipd-win/:/mnt/c/Users/josue/AppData/Local/Programs/Python/Python312/Scripts/:/mnt/c/Users/josue/AppData/Local/Programs/Python/Python312/:/mnt/c/Users/josue/AppData/Local/Programs/Python/Launcher/:/mnt/c/Users/josue/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/josue/AppData/Local/GitHubDesktop/bin:/mnt/c/Users/josue/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/Users/josue/AppData/Roaming/npm:/snap/bin:/root/.local/bin:/root/.local/bin', 'WT_SESSION': 'f855588f-5c40-42c4-9cf0-087b3a58b828', 'XDG_RUNTIME_DIR': '/run/user/0', 'DISPLAY': ':0', 'LANG': 'C.UTF-8', 'GZ_IP': '127.0.0.1', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:', 'ROS_DOMAIN_ID': '30', 'AMENT_PREFIX_PATH': '/root/ROS2/Roberto/install/roberto_person_detection:/root/ROS2/Roberto/install/roberto:/root/ROS2/Roberto/install/roberto_nav_ruta:/root/ROS2/Roberto/install/roberto_nav_punto:/root/ROS2/Roberto/install/roberto_mundo:/root/ROS2/Roberto/install/roberto_lidar:/root/ROS2/Roberto/install/roberto_gesture_detection:/root/ROS2/turtlebot3_ws/install/roberto:/opt/ros/jazzy', 'SHELL': '/bin/bash', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'GZ_VERSION': '8', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'PWD': '/root/ROS2/Roberto/build/roberto_mundo', 'TURTLEBOT3_MODEL': 'burger_cam', 'GEMINI_API_KEY': 'AQ.Ab8RN6JiKHxBtH8y82T2WBDLJZcllZtlGMnpcFes6OkquKCBmg', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'MESA_GL_VERSION_OVERRIDE': '4.1', 'PYTHONPATH': '/root/ROS2/Roberto/install/roberto_person_detection/lib/python3.12/site-packages:/root/ROS2/Roberto/install/roberto_nav_ruta/lib/python3.12/site-packages:/root/ROS2/Roberto/install/roberto_nav_punto/lib/python3.12/site-packages:/root/ROS2/Roberto/install/roberto_lidar/lib/python3.12/site-packages:/root/ROS2/Roberto/install/roberto_gesture_detection/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'COLCON': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'HOSTTYPE': 'x86_64', 'CMAKE_PREFIX_PATH': '/root/ROS2/Roberto/install/roberto:/root/ROS2/Roberto/install/roberto_mundo:/root/ROS2/turtlebot3_ws/install/roberto:/opt/ros/jazzy/opt/gz_sim_vendor:/opt/ros/jazzy/opt/gz_sensors_vendor:/opt/ros/jazzy/opt/gz_physics_vendor:/opt/ros/jazzy/opt/sdformat_vendor:/opt/ros/jazzy/opt/gz_gui_vendor:/opt/ros/jazzy/opt/gz_transport_vendor:/opt/ros/jazzy/opt/gz_rendering_vendor:/opt/ros/jazzy/opt/gz_plugin_vendor:/opt/ros/jazzy/opt/gz_fuel_tools_vendor:/opt/ros/jazzy/opt/gz_msgs_vendor:/opt/ros/jazzy/opt/gz_common_vendor:/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_tools_vendor:/opt/ros/jazzy/opt/gz_ogre_next_vendor:/opt/ros/jazzy/opt/gz_dartsim_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor:/root/ROS2/Roberto/install/roberto_person_detection:/root/ROS2/Roberto/install/roberto_nav_ruta:/root/ROS2/Roberto/install/roberto_nav_punto:/root/ROS2/Roberto/install/roberto_lidar:/root/ROS2/Roberto/install/roberto_gesture_detection:/opt/ros/jazzy', 'WSLENV': 'WT_SESSION:WT_PROFILE_ID:'}), 'shell': False}
[0.151193] (roberto_mundo) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.151858] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/lib/roberto_mundo/turtlebot3_drive\n'}
[0.152124] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/lib/roberto_mundo/libobstacles.so\n'}
[0.152542] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/lib/roberto_mundo/libobstacle1.so\n'}
[0.152999] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/lib/roberto_mundo/libobstacle2.so\n'}
[0.153319] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//launch\n'}
[0.153651] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//launch/spawn_turtlebot3.launch.py\n'}
[0.154085] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//launch/robot_state_publisher.launch.py\n'}
[0.154254] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//launch/roberto.launch.py\n'}
[0.154421] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models\n'}
[0.154552] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall\n'}
[0.155105] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_4.sdf_Zone.Identifier\n'}
[0.155279] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.config_Zone.Identifier\n'}
[0.155493] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_4.sdf\n'}
[0.155671] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_3.sdf\n'}
[0.156143] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_3.sdf_Zone.Identifier\n'}
[0.156479] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_3.sdf:Zone.Identifier\n'}
[0.156860] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.config\n'}
[0.157123] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.sdf:Zone.Identifier\n'}
[0.157281] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model-1_4.sdf:Zone.Identifier\n'}
[0.157419] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.sdf_Zone.Identifier\n'}
[0.157642] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/model.config:Zone.Identifier\n'}
[0.157834] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials\n'}
[0.158020] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/textures\n'}
[0.158205] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/textures/grey_wall.png\n'}
[0.158366] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/textures/grey_wall.png:Zone.Identifier\n'}
[0.158530] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/textures/grey_wall.png_Zone.Identifier\n'}
[0.159190] (roberto_mundo) StdoutLine: {'line': b'-- Up-to-date: /root/ROS2/Roberto/install/roberto_mundo/share/roberto_mundo//models/grey_wall/materials/scripts\n'}
